KEY,en,cs,zh_Hant,ru,de,pl,sv,bg,tl,ro,pt,fr,es,es_AR,nb,it,da,es_MX,tr,ja,fi,vi,cmn
Seagrass,Seagrass,Mořská Tráva,海草,Морская трава,Seegrass,Trawa morska,Sjögräs,Морска трева,Damong-dagat,Iarbă de mare,Erva-marinha,Herbier Marin,Posidonia,Pastos marinos,Sjøgress,,Søgræs,Pastos marinos,Deniz Otu,,Meriruoho,Cỏ biển,
Might need a lawnmower,Might need a lawnmower,Možná bude třeba posekat,可能需要動用割草機了,"Похоже, понадобится газонокосилка",Möglicherweise wird ein Rasenmäher benötigt,Będzie potrzebna kosiarka,Kan behöva en gräsklippare,Може да се нуждае от косачка за трева,Baka dapat may lawnmoyer tayo,S-ar putea să ai nevoie de o mașină de tuns iarba,Talvez precises de um corta-relva,Peut être besoin d'une tondeuse ,Podría necesitar un cortacésped,Podría necesitar una bordeadora,Behøver kanskje gressklipper,,Behøver nok en græsslåmaskine,Puede necesitar una podadora,,,Saattaa tarvita ruohonleikkurin,Có thể cần một chiếc máy cắt cỏ,
Kelp,Kelp,Chaluha,海帶,Ламинария,Seetang,Wodorosty,Tång,Водорасли,Tangkay ng Dagat,Alge,Alga,Varech,Quelpo,Alga marina,Tare,,Tang,Alga,Yosun,,Merilevä,Tảo,
"Please, kelp me!","Please, kelp me!",Nezbytná součást oceánů po celém světě,遍布全球海洋的「基本配備」！,"Пожалуйста, заламинируй меня!",Ein Grundnahrungsmittel der Ozeane,NPC Oceanu,Jag tånker på dig,Високо расли водорасли!,"Parang tangkay, pero 'di siya pwede sa lupa",,Alga me ajude!,Varech-ercher de l'aide !,,Algan algo!,,,Der skal to til en tang-o!,Que alguien llame a alguien!,,,Valtamerien keskeinen ravinnonlähde,"Làm ơn, cứu tôi với!",
Super Red,Super Red,Zakucelka Červená,超級紅,Сверх Красный,Ludwigia palustris,Ludwigia błotna,Ludwigia palustris Super Röd,Супер червено,Sobrang Pula,Super Roșu,Super vermelho,Super Rouge,,Ludwigia roja,Superrød,,Superrød,Ludwigia roja,Ludwigia palustris Süper Kızıl,,Akvaariokoristekasvi,Siêu đỏ,
"Yep, checks out","Yep, checks out","Jo, to sedí",嗯，果然名副其實,"Да, подходит","Ja, das passt","Tak, zgadza się","Japp, låter bra","Да, правилно е
",Talaga naman,"Da, arată bine","Sim, faz sentido","Ouais, ça a du sens",,,"Jepp, stemmer det",,"Jep, det stemmer",El Beethoven de las plantas marinas,Hakkattende öyle,,"Jep, käy järkeen",Chuẩn cơm mẹ nấu luôn,
Diver,Diver,Potapěč,潛水員,Водолаз,Taucher,Nurek,Dykare,Водолаз,Buseador,Scafandru,Mergulhador,Plongeur,Buceador,Buceador,Dykker,,Dykker,Buceador,Dalgıç,,Sukeltaja,Thợ lặn,
Let's hope the pressure doesn't get to him,Let's hope the pressure doesn't get to him,"Doufejme, že na něj ten tlak nedopadne",希望他的壓力不會太大,"Давайте надеяться, что давление на него не подействует","Hoffen wir, dass der Druck ihm nicht zu viel wird","Miejmy nadzieję, że ciśnienie go nie dopadnie",Hoppas att pressen inte drar ner honom.,"Да се ​​надяваме, че напрежението няма да го застигне",,Să sperăm ca presiunea nu-l va afecta prea tare,Esperemos que não se sinta pressionado,On espère qu'il ne se sente pas sous pression,Esperemos que no se sienta presionado,Esperemos que no se sienta presionado,Får håpe det ikke blir for mye press,,Lad os håbe at presset ikke går ham på,Esperemos que no se sienta presionado,Umalımda dalıp gitmesin,,Toivottavasti hän ei romahda paineen alla,Hy vọng áp lực sẽ không khiến anh ấy vụn vỡ,
Starground Plush,Starground Plush,Starground Plyšák,Starground 玩偶,Игрушка Starground,Starground Plüschtier,Maskotka Starground,Starground Gosedjur,Плюшена играчка Starground,,,Peluche do Starground,Peluche de Starground,Peluche de Starground,Peluche de Starground,Starground-kosedyr,,Starground-plysdyr,Peluche de starground,Starground Peluşu,,Starground pehmolelu,Thú bông Starground,
Ad Astra!,Ad Astra!,Ad Astra!,飛向星辰！,До небес!,Ad Astra!,Ad Astra!,Ad Astra!,Ad Astra!,,Ad Astra!,Ad Astra!,Ad Astra!,Ad Astra!,Ad Astra!,Ad Astra!,,Ad Astra!,Ad Astra!,Ad Astra!,,Tähdet kohdilleen! ,Vươn tới những vì sao!,
Substrate,Substrate,Podklad,底砂,Грунт,Substrat,Podłoże,Substrat,Субстрат,,Substrat,Substrato,Substrat,Sustrato,Sustrato,Substrat,,Substrat,Sustrato,,,Kasvualusta,Chất nền,
Background,Background,Pozadí,背景,Задний фон,Hintergrund,Tło,Bakgrund,Фон,,Fundal,Fundo,Arrière-Plan,,Fondo,Bakgrunn,,Baggrund,Fondo,Arkaplan,,Taustakuva,Hình nền,
Liquid Type,Liquid Type,Typ Kapaliny,水質,Тип жидкости,Wasser Typ,Typ płynny,Vätsketyp,Тип течност,,Tip de lichid,Tipo de líquido,Type de Liquide,,Tipo de líquido,Væsketype,,Væsketype,Tipo de líquido,Sıvı Türü,,Nestetyyppi,Loại chất lỏng,
Reset Decorations,Reset Decorations,Resetovat Dekorace,重設裝飾,Сброс декораций,Dekoration zurücksetzen,Resetuj dekoracje,Ta bort alla dekorationer,Нулиране Декорации,,Resetează decorul,Redefinir decoração,Réinitialiser décorations,Reiniciar decoraciones,Reiniciar decoraciones,Reset dekorasjoner,,Nulstil dekorationer,Reiniciar decoraciones,Dekorasyonları sıfırla,,Nollaa koristeet,Đặt lại đồ trang trí,
Sand,Sand,Písek,沙子,Песок,Sand,Piasek,Sand,Пясък,,Nisip,Areia,Sable,Arena,Arena,Sand,,Sand,Arena,Kum,,Hiekka,Cát,
Gravel,Gravel,Štěrk,碎石,Гравий,Kies,Żwirek,Grus,Чакал,,Pietriș,Gravilha,Gravier,Grava,Piedritas,Grus,,Grus,Gravilla,Çakıl,,Sora,Sỏi,
Black Gravel,Black Gravel,Černý Štěrk,黑色碎石,Тёмный гравий,Schwarzer Kies,Czarny żwirek,Svart grus,Черен чакъл,,Pietriș Negru,Gravilha preta,Gravier Noir,Grava oscura,Piedritas oscuras,Svart grus,,Sort grus,Gravilla oscura,Kara Çakıl,,Musta sora,Sỏi đen,
Blue,Blue,Modrá,藍色,Синий,Blau,Niebieski,Blå,Синьо,,Albastru,Azul,Bleu,Azul,Azul,Blå,,Blå,Azul,Mavi,,Sininen,Xanh,
Light Blue,Light Blue,Světle Modrá,淺藍色,Голубой,Helles Blau,Jasnoniebieski,Ljusblå,Светло синьо,,Albastru deschis,Azul claro,Bleu clair,,Azul claro,Lyseblå,,Lyseblå,Azul claro,Açık Mavi,,Vaaleansininen,Xanh nhạt,
Red,Red,Červená,紅色,Красный,Rot,Czerwony,Röd,Червено,,Roșu,Vermelho,Rouge,Rojo,Rojo,Rød,,Rød,Rojo,Kırmızı,,Punainen,Đỏ,
Forest,Forest,Les,森林,Лес,Wald,Las,Skog,Гора,,Pădure,Floresta,Forêt,Bosque,Bosque,Skog,,Skov,Bosque,Orman,,Metsä,Rừng,
Pots,Pots,Pasti,捕撈籠,Ловушки,Krabben Falle,Pułapka na kraby,Burar,Капа̀н,,Ghivece,Armadilhas para caranguejos,Piège à Crabes,Retel,Jaula,Potter,,Krabbefælder,Trampa,Kafes,,Rapukori,Lồng bẫy,
Weather Station,Weather Station,Meteorologická Stanice,氣象站,Метеостанция,Wetterstation,Stacja pogodowa,Väderstation,Метеорологична станция,,Stație meteo,Estação meteorológica,Station météorologique ,,Estación metereológica,Værstasjon,,Vejrstation,Estación metereológica,Hava Durumu İstasyonu,,Sääasema,Trạm thời tiết,
Fish Food,Fish Food,Krmivo Pro Ryby,魚飼料,Корм для рыбок,Fischfutter,Karma dla ryb,Fiskfoder,Храна за рибки,Pagkain ng Isda,Mâncare de pești,Ração para peixes,Nourriture pour Poissons,,Comida para peces,Fiskemat,,Fiskemad,Comida para peces,Balık Yemi,,Kalanruoka,Thức ăn cho cá,
Unlock,Unlock,Odemknout,解鎖,Открыть,Freischalten,Odblokuj,Lås upp,Отключи,,Deblochează,Desbloquear,Débloquer,,Desbloquear,Lås opp,,Lås op,Desbloquear,Kilidi Aç,,Avata,Mở khoá,
Unlock {cost},Unlock {cost},Odemknout {cost},解鎖{cost},Открыть {cost},Freischalten {cost},Odblokuj {cost},Lås upp {cost},Отключи {cost},,Deblochează {cost},Desbloquear {cost},Débloquer  {cost},,Desbloquear {cost},Lås opp {cost},,Lås op {cost},Desbloquear {cost},Kilidi Aç {cost},,Avata {cost} ,Mở khoá {cost},
Requires {quantity},Requires {quantity},Vyžaduje {quantity},需要{quantity},Требуется {quantity},Benötigt {quantity},Wymaga {quantity},Kräver {quantity},Изисква {quantity},,Cere {quantity},Requer {quantity},Requiert {quantity},Rquiere {quantity},Requiere {quantity},Behøver {quantity},,,Requiere {quantity},{quantity} gerektirir,,Vaatii [quantity] ,Cần {quantity},
Adds a new tank to your aquarium,Adds a new tank to your aquarium,Přidá nové akvárium,為你的水族館新增一個新水槽,Добавляет новую ёмкость в зал,Fügt ein neues Becken zum Aquarium hinzu,Dodaje nowy zbiornik do twojego akwarium,Lägger till en ny inhägnad till ditt akvarium,Добавя нов аквариум,,Adaugă un nou tanc la acvariul tău,Adiciona um novo aquário ao teu oceanário,Ajoute un nouvel Aquarium,,Añade un nuevo tanque al acuario,Legger til en ny tank i akvariet ditt,,Tilføjer en ny vandbeholder til dit akvarium,Añade un nuevo tanque al acuario,Akvaryumuna yeni bir tanker ekler,,Lisätä uusi akvaario akvaarioosi,Thêm một bể mới vào hồ cá của bạn,
"Unlocks research, which will enable new opportunities","Unlocks research, which will enable new opportunities","Zpřístupní výzkum, který přinese nové příležitosti",解鎖研究功能，開啟更多發展機會,"Разблокирует исследования, которые будут открывать новые возможности","Schaltet Forschung frei, dies bietet neue Möglichkeiten","Odblokowuje badania, które dają nowe możliwości","Låser upp forskning, som skapar nya möjligheter","Отключва изследвания, които ще дадат нови възможности",,Deblochează cercetarea pentru a debloca mai multe oportunități,"Desbloqueia pesquisa, o que abrirá novas oportunidades","Débloque recherche, ce qui permettra de nouvelles opportunités ",,"Desbloquea la investigación, la cual te permitirá nuevas oportunidades","Låser opp forskning, som vil skape nye muligheter",,"Låser op for forskning, som skaber nye muligheder","Desbloquea la investigación, la cual te permitirá nuevas oportunidades",Araştırmayı açarak yeni fırsatlar oluşturur,,"Avaa tutkimustiedon, joka tarjoaa uusia mahdollisuuksia","Mở khoá nghiên cứu, mở ra các cơ hội mới",
Generates {quantity} more research per minute,Generates {quantity} more research per minute,Zvýší počet výzkumu o {quantity} za minutu,每分鐘額外產生{quantity}點研究點數,Генерирует на {quantity} очков исследования в минуту,Generiert {quantity} mehr Forschung pro Minute,Generuje {quantity} więcej badań na minutę,Skapar {quantity} mer forskning per minut,Генерира {quantity} повече изследвания в минута,,Generează {quantity} mai multă cercetare per minut,Gera mais {quantity} pesquisa por minuto,Génère {quantity} recherches en plus par minute,,Genera {quantity} más de investigación por minuto,Skaper {quantity} mer forskning mer minutt,,Genererer {quantity} mere forskning per minut,Genera {quantity} más de investigación por minuto,Dakika başı {quantity} tane daha araştırma üretir,,Tuottaa {quantity} enemmän tutkimustietoa minuutissa,Tạo ra thêm {quantity} nghiên cứu mỗi phút,
Increases your offline earnings cap to {quantity} minutes,Increases your offline earnings cap to {quantity} minutes,Zvýší limit offline výdělků na {quantity} minut,將離線收益時間上限提升至 {quantity} 分鐘,Увеличивает ваш лимит заработка в офлайне до {quantity} минут,Erhöht deine maximale offline Zeit indem Einkommen generiert auf {quantity} Minuten,Zwiększa twój maksymalny zarobek offline do {quantity} minut ,Höjer maxantalet du kan tjäna till {quantity} minuter när spelet är stängt,Увеличава ограничението на офлайн печалбите ви до {quantity} минути,,,Aumenta o limite do teu rendimento offline para {quantity} minutos,Augmente la limite de rendements Hors-Ligne a {quantity} minutes,,Aumenta tu límite de ganancias fuera de línea a {quantity} minutos,Øker makstid du kan tjene mens spillet er avsluttet til {quantity} minutter,,,Aumenta tu límite de ganancias fuera de línea a {quantity} minutos,Çevrimdışı kazancı tavanını {quantity} dakikaya arttırır,,Nostaa sinun offline-tilan ansiorajaa {quantity} minuuttiin,Tăng giới hạn thời gian nhận thu nhập ngoại tuyến lên {quantity} phút,
Increases the number of customers by {quantity},Increases the number of customers by {quantity},Zvýší počet zákazníků o {quantity},增加{quantity}位顧客,Увеличивает кол-во посетителей на {quantity},Erhöhe die Anzahl an Kunden um {quantity},Zwiększa ilość klientów o {quantity},Höjer antalet kunder med {quantity},Увеличава броя на клиентите с {quantity},,,Aumenta o número de clientes por {quantity},Augmente le nombre de clients par {quantity},,Aumenta el número de clientes en {quantity},Øker antall kunder med {quantity},,,Aumenta el número de clientes en {quantity},Müşteri sayısını {quantity} kişi arttırır,,Nostaa asiakkaiden määrää {quantity} ,Tăng số lượng khách hàng lên {quantity},
Increases earnings from each customer by {percent},Increases earnings from each customer by {percent},Zvýší výdělek za každého zákazníka o {percent},每位顧客的收益增加{percent},Увеличивает заработок с каждого посетителя на {percent},Erhöhe das Einkommen pro Kunde um {percent},Zwiększa przychody od każdego klienta o {percent},Höjer inkomsten från varje kund med {percent},Увеличава приходите от всеки клиент с {percent},,,Aumenta o teu rendimento por cliente em {percent},Augmente le rendement par client par {percent},,Aumenta las ganancias por cliente en {percent},Øker inntekt fra hver kunde med {percent},,,Aumenta las ganancias por cliente en {quantity},Müşteri başı kazancını {percent} arttırır,,Nostaa tienaamista jokaiselta asiakkaalta {percent} ,Tăng thu nhập từ mỗi khách hàng lên {percent},
Makes fish bite your hook {percent} more often,Makes fish bite your hook {percent} more often,Ryby se zakousnou do háčku o {percent} častěji,咬勾頻率上升{percent},Рыба клюёт на {percent} чаще,Fische beißen öfter an um {percent},Zwiększa częstotliwość brań o {percent} ,Får fiskar att nappa {percent} oftare,Кара рибата да кълве куката ви {percent} по-често,,,Faz com que os peixes mordam o anzol {percent} mais,Fait en sorte que les poissons mordent à votre appât {percent} plus souvent ,,Hace que los peces muerdan el anzuelo {percent} más seguido,Få napp {percent} oftere,,,Hace que los peces muerdan el anzuelo {percent} más seguido,Balıklar kancana {percent} daha sık takılır,,Saa kalat haukkaamaan koukkuusi {percent} useammin,Cá cắn câu thường xuyên hơn {percent},
Increases weight limit by {quantity},Increases weight limit by {quantity},Zvýší váhový limit o {quantity},重量上限增加{quantity},Увеличивает лимит веса на {quantity},Erhöhe maximales Gewicht um {quantity},Zwiększa limit udźwigu o {quantity},Ökar vikt begränsningen med {quantity},Увеличава ограничението на теглото с {quantity},,,Aumenta o limite de peso por {quantity},Augmente la limite de poids par {quantity},,Aumenta el límite de peso en {quantity},Øker vektgrensen med {quantity},,,Aumenta el límite de peso en {quantity},Ağırlık sınırını {quantity} arttırır,,Nostaa painorajaa {quantity},Tăng giới hạn trọng lượng lên {quantity},
Spooky,Spooky,Strašidelné,恐怖喔~,Страшненько,Gruselig,Straszny,Kusligt,Зловещо,,Infricoșător,Assustador,Effrayant,,Que miedito,Skummelt,,Uhyggeligt,Que miedito,Korkunç,,Pelottava,Đáng sợ,
Literal garbage dude,Literal garbage dude,Doslova odpad kámo,就只是個垃圾,"Чел, это буквально мусор",Einfach Müll,Oficjalny pakiet rzeczy do wyrzucenia.,Sopgubben,Буквално боклук,,Efectiv gunoi,Literalmente lixo,Littéralement des ordures mec,,Es literalmente basura,Ekte søppel kompis,,,Es pura basura wey,Katıksız çöp,,Todellinen roska jätkä,,
For all your storing needs,For all your storing needs,Pro všechny vaše skladovací potřeby,滿足你的收藏癖,Для всех ваших нужд в хранении,Für alle Lagerbedürfnisse,Tyle miejsca ile tylko potrzebujesz,För alla dina lagringsbehov,За всички ваши нужди за съхранение,,Pentru toate nevoile tale de stocare,Satisfaz as tuas necessidades de armazenamento,Pour satisfaire toutes tes envies de rangement ,,Para todas tus necesidades de almacenamiento,For ethvert lagringsbehov,,Til alle dine oplagringsbehov,Para todas tus necesidades de almacenamiento,Bütün depolama ihtiyaçların için,,Kaikkiin sinun varastointitarpeisiin,Cho mọi nhu cầu lưu trữ của bạn,
A perfect place to sit,A perfect place to sit,Perfektní místo k posezení,坐下來休息的完美地點,Идеальное место для сидения,Ein perfekter Platz zum sitzen,Idealne miesjce by usiąść,En perfekt plats att sitta på,Перфектно място за сядане,,Un loc perfect de a te așeza,Um ótimo lugar para sentar,Un endroit parfait pour s'assoir,,Un lugar perfecto para sentarse,Et perfekt sted å sitte,,Et perfekt sted at sidde,Un lugar perfecto para sentarse,Oturmak için mükemmel yer,,Täydellinen paikka istua,Một nơi hoàn hảo để ngồi,
Boo!,Boo!,Baf!,嚇!!!,Бу!,Boo!,Buu!,Buu!,Бу!,,Bau!,Só fica a faltar a Eva,Bouh!,,Boo!,Bø!,,Bøh!,Boo!,Bö!,,Pöö! ,Hù!,
SSsss,SSsss,SSsss,嘶嘶嘶,Шшшш,SSssss,SSsss,SSsss,ССссс,,șșșșș!,Bastante afiada,SSsss,,SSsss,SSsss,,SSsss,SSsss,SSsss,,Shhh,Xììì,
To brighten up your day!,To brighten up your day!,Rozjasní váš den!,照亮你的每一天,Добавит света в ваш день!,Um deinen Tag zu erleuchten!,Na poprawę dnia!,För att förgylla din dag!,За да ви озари деня!,,Ca să îți lumineze ziua!,Para alegrar o teu dia!,Pour enjoliver votre journée,,¡Para iluminar tu dia!,For å lyse opp dagen din!,,,¡Para iluminar tu día!,Gününü aydınlatmak için!,,Parantamaan päivääsi!,Thắp sáng một ngày của bạn!,
"Perhaps a can, for trash","Perhaps a can, for trash","Koš, že by na odpad?",也許這是個裝垃圾的罐子,"Возможно, ведро, для мусора",Vielleicht ein Ort für deinen Müll,"Kosz, kosz na śmieci","Möjligtvis en tunna, för soppor","Може би , е кутия, за боклук",,"Poate un coș (de gunoi), pentru gunoi","É um caixote, para o lixo","Peut-être une canette, pour la poubelle",,,"Kanskje en bøtte, til søppel",,"En spand, til skrald","Talvez una lata, para basura",,,"Mahdollisesti kansi, roskaa varten","Có lẽ là một cái thùng, để đựng rác",
Looks familiar,Looks familiar,Vypadá Povědomě,看起來有點眼熟,Выглядит знакомо,Sieht aus als würde ich es kennen,Wygląda znajomo,Ser bekant ut,Изглежда познато,,Arată familiar,Parece familiar,Ça parait familier,,Parece familiar,Ser kjent ut,,Virker bekendt,Parece familiar,Tanıdık duruyor,,Näyttää tutulta,Trông quen thế nhờ,
Lets you feed your fish for bonuses,Lets you feed your fish for bonuses,Umožní krmit ryby pro bonusy,餵魚時能獲得額外獎勵,Дает возможность кормить рыбу для получения бонусов,"Lässt dich deine Fische füttern, um Boni zu erhalten",Pozwala ci karmić rybki i uzyskiwać bonusy,Ger en bonus när du matar dina fiskar,Позволява ви да храните рибките си за бонуси,,Haide să îți hrănim peștele pentru bonusuri,Permite-te alimentar os teus peixes para ganhares bónus,Permet de nourrir tes poissons pour des bonus,,Te permite alimentar tus peces para conseguir dinero extra,Lar deg mate fisk for bonuser,,Lader dig opnå bonusser ved at fodre dine fisk,Te permite alimentar tus peces para conseguir dinero extra,Balıklarını ek ödüller için besleyebilmeni sağlar,,Antaa syöttää kalojasi lisäpalkkioiden ansaitsemiseksi,Cho phép bạn cho cá ăn để nhận thưởng,
Lets you see the weather before traveling,Lets you see the weather before traveling,Umožní vidět počasí před cestováním,讓你能在旅行前預先得知天氣狀況,Даёт возможность смотреть погоду перед путешествием,Lässt dich das Wetter im Menü sehen,Pozwala ci sprawdzić pogodę przed podróżą,Låter dig se vädret innan du ger dig ut,Позволява ви да видите времето преди пътуване,,Hai să vedem vremea înainte să călătorim,Deixa-te ver o estado do tempo antes de viajares,Permet de voir la météo avant de voyager,,Te permite ver el pronóstico del tiempo antes de viajar,Lar deg se været før du reiser,,Lader dig se vejret før du rejser,Te permite ver el pronóstico del tiempo antes de viajar,,,Antaa sinun tarkistaa sään ennen matkustamista,Cho phép bạn xem thời tiết trước khi di chuyển,
Unlocks upgrades to make the most of your customers,Unlocks upgrades to make the most of your customers,Odemkne vylepšení které vám umožní získat ze zákazníků maximum,解鎖升級，從顧客身上獲取最大收益,Открывает улучшения для вытягивания максимума из посетителя,"Schaltet Verbesserungen frei, um das Potenzial der Kunden optimal auszuschöpfen","Odblokowuje ulepszenia, żeby wycisnąć z klientów jak najwięcej",Låser upp uppgraderingar för att få ut mer av dina kunder,"Отключва подобрения, за да се възползвате максимално от клиентите си",,Deblochează înbunătățirile pentru a profita la maxim de clienți tăi,Desbloqueia melhorias para tirares máximo partido dos teus clientes,Débloque des améliorations pour en tirer le maximum de vos clients,,Desbloquea mejoras para sacarle partido a tus clientes,Låser opp oppgraderinger for å få mest mulig ut av kundene dine,,"Låser op for opgraderinger, så du får mest muligt ud af dine kunder",Desbloquea mejoras para aprovechar a tus clientes,,,"Avaa päivityksiä, jotta saat kaiken irti asiakkaistasi",Mở khóa các nâng cấp để tận dụng tối đa khách hàng,
Unlocks upgrades to your fishing equipment,Unlocks upgrades to your fishing equipment,Odemkne vylepšení rybářského vybavení,解鎖釣魚裝備升級,Открывает улучшения вашего рыбацкого снаряжения,Schaltet Verbesserungen für die Angelausrüstung frei,Odblokowuje ulepszenia twojego wyposażenia rybackiego,Låser upp upgraderingar till din fiskeutrustning,Отключва подобрения на вашето риболовно оборудване,,Deblochează înbunătățirile pentru echipamentul tău de pescuit,Desbloqueia amelhoraçoes para o seu equipamento de pesca,Débloque des améliorations pour votre équipement de pêche,,Desbloquea mejoras para tu equipamiento de pesca,Låser oppgraderinger til fiskeutstyret ditt,,Låser op for opgraderinger til dit fiskeudstyr,Desbloquea mejoras para tu equipamiento de pesca,,,Avaa päivityksiä kalastustarvikkeillesi,Mở khóa các nâng cấp cho trang thiết bị câu cá,
Unlocks pots to collect bottom-dwelling critters,Unlocks pots to collect bottom-dwelling critters,Odemkne pasti které sbírají živočichy žijící nad dně,解鎖捕撈籠，用來收集水底生物,Открывает ловушки для ловли обитателей дна,"Öffnet Falle, um am Meeresgrund Tiere zu fangen",Odblokowuje pułapki do zbierania przydennych żyjątek,"Låser upp fällor som låter dig fånga bottenlevande varelser
",Отключва капан за събиране на дънни същества,,,Desbloqueia armadilhas para capturares criaturas rastejantes,Débloque des pièges pour collecter des créatures des bas-fonds,,,Låser opp potter til å samle dyr som bor på bunnen,,"Låser op for krabbefælder, som kan fange bundlevende dyr",Desbloquea ollas para atrapar criaturas del fondo ,,,Avaa rapumerrat pohjalla elävien otusten nappaamiseksi,Mở khóa lồng bẫy để thu thập các sinh vật sống dưới đáy,
"Unlocks Ascension, which lets you sell your shop and start fresh with powerful upgrades","Unlocks Ascension, which lets you sell your shop and start fresh with powerful upgrades","Odemkne Povznesení, které umožňuje prodat obchod a začít znovu se silnými vylepšeními",解鎖翻新，出售你的水族館並帶著強大的加成重新開始,"Открывает восхождение, которое позволяет вам продать свой магазин и начать все сначала с мощными улучшениями","Schaltet einen Reset frei, mit dem du deinen Laden verkaufen und mit mächtigen Verbesserungen neu beginnen kannst","Odblokowuje prestiż, który pozwala ci sprzedać twój sklep i zacząć od początku z potężnymi ulepszeniami ","Låser upp återfödelse, som låter dig sälja din affär och starta om med kraftfulla uppgraderingar","Отключва Възнесение, което ви позволява да продадете магазина си и да започнете на чисто с мощни подобрения",,,"Desbloqueia a Ascensão, que te permite vender a tua loja e recomeçar do zero com melhorias poderosas","Débloque l'Ascension, qui permet de ventre sa boutique et recommencer à nouveau avec des améliorations puissantes  ",,,"Låser opp Arv, som lar deg selge butikken og starte på nytt med krafige oppgraderinger",,"Låser op for genfødsel, som lader dig sælge din butik og starte på ny med stærke opgraderinger","Desbloquea ascenso, que te deja vender tu tienda y empezar de nuevo con poderosas mejoras",,,"Avaa tason nousun, joka antaa sinun myydä kauppasi ja aloittaa puhtaalta pöydältä voimakkaiden päivitysten kanssa","Mở khóa Thăng thiên, cho phép bạn bán cửa hàng để bắt đầu lại với những nâng cấp mạnh mẽ",
Unlocks the lake fishing region,Unlocks the lake fishing region,Odemkne jezerní oblast rybolovu,解鎖湖泊釣魚區域,Открывает озеро для рыбалки,Schaltet den See frei,Odblokowuje miejsce na jeziorze nęcone pęczakiem,Låser upp fiske vid sjön ,Отключва региона за риболов в езеро,,Deblochează regiunea lac de pescuit,Desbloqueia a região de pesca no lago,Débloque la région du lac de pêche,,Desbloquea la región de pesca en el lago,Låser opp fisking i innsjøregionen,,Låser op for fiskning i søregionen,desbloquea la region de pezca lago,,,Avaa järvi kalastusalueen,Mở khóa khu vực câu cá ở hồ,
Unlocks the river fishing region,Unlocks the river fishing region,Odemkne říční oblast rybolovu,解鎖河流釣魚區域,Открывает реку для рыбалки,Schaltet den Fluss frei,Odblokowuje teren rybacki - rzeka,Låser upp fiske vid floden,Отключва региона за риболов в река,,Deblochează regiunea râu de pescuit,Desbloqueia a região de pesca no rio,Débloque la région de la rivière de pêche,,Desbloquea la región de pesca en el río,Låser opp fisking i elvregionen,,Låser op for fiskning i flodregionen,desbloquea la region de pezca rio,,,Avaa kalastusalueen joki,Mở khóa khu vực câu cá ở sông,
Unlocks the ocean fishing region,Unlocks the ocean fishing region,Odemkne oceánskou oblast rybolovu,解鎖海洋釣魚區域,Открывает океан для рыбалки,Schaltet den Ozean frei,Odblokowuje teren rybacki - ocean,Låser upp fiske vid havet,Отключва региона за риболов в океан,,Deblochează regiunea ocean de pescuit,Desbloqueia a região de pesca no oceano,Débloque la région de l'océan de pêche,,Desbloquea la región de pesca en el océano,Låser opp fisking i havregionen,,Låser op for fiskning i havregionen,Desbloquea la region de pezca oceano,,,Avaa kalastusalueen meri,Mở khóa khu vực câu cá ở đại dương,
Lets you fill your tanks with salt water,Lets you fill your tanks with salt water,Nechá vás naplnit akvária slanou vodou,讓你的水槽裝滿鹹水,Даёт возможность заполнять аквариумы солёной водой,Lässt dich die Becken mit Salzwasser füllen,Pozwala ci napełnić zbiorniki wodą morską,Låter dig fylla dina akvarium med saltvatten,Позволява ви да пълните резервоарите си със солена вода,,,Permite-te encher os teus aquários com água salgada,Permet de remplir son réservoir d'eau salée,,Permite llenar tus tanques con agua salada,Lar deg fylle tankene med saltvann,,Lader dig fylde dine vandbeholdere med saltvand,te deja llenar tus tanques con agua salada,,,Antaa täyttää akvaariot suolaisella vedellä,Cho phép bạn đổ đầy nước mặn vào bể,
Doubles passive and sell value of all fish,Doubles passive and sell value of all fish,Zdvojnásobí pasivní příjem a prodávací hodnotu všech ryb,所有魚類的被動收益與售價翻倍,Удваивает пассивный заработок и цену продажи рыб,Verdoppelt passives Einkommen und Verkaufswerte der Fische,Podwaja pasywny przychód i wartość sprzedawanych ryb,Dubblar passivt värde och säljvärde för alla fiskar,Удвоява пасивната и продажната стойност на всички риби,,,Duplica o rendimento passivo e o valor de venda de todos os peixes,Double le passif et la valeur de vente de tous les poissons,,Duplica el pasivo y el valor de venta de todos los peces,Dobler passiv verdi og salgsverdi for all fisk,,Dobler passiv- og salgsværdi af alle fisk,duplica el pasivo y el valor de vender los peces,,,Tuplaa passiivin ja kaikkien kalojen myyntiarvon,Nhân đôi giá trị thụ động và giá bán của tất cả các loài cá,
